Function DE DE-ERROR Sieve Sieve-ERROR
DTLZ1 20100 0 913 273
DTLZ2 20100 0 1194 188
DTLZ3 20100 0 1127 58
DTLZ4 20100 0 944 181
DTLZ5 20100 0 974 152
DTLZ6 20100 0 1137 80
DTLZ7 20100 0 1199 43
