Function	Sieve	Sieve-ERROR	Sieve2	Sieve2-Error	DE	DE-ERROR
DTLZ1	913	273	219	16	20100	0
DTLZ2	1194	188	237	59	20100	0
DTLZ3	1127	58	173	237	20100	0
DTLZ4	944	181	213	62	20100	0
DTLZ5	974	152	254	20	20100	0
DTLZ6	1137	80	215	49	20100	0
DTLZ7	1199	43	206	60	20100	0

