Function	SieveMG	SieveMG-Error	Sieve3	Sieve3-Error	Sieve4	Sieve4-Error	Sieve5	Sieve5-Error	DE	DE-ERROR	MOEAD	MOEAD-Error
Fonseca	4820	481	1237	121	16989	3357	15554	3589	20099	0	171835	5487
Kursawe	3734	288	1040	229	13401	1768	20964	5055	20099	0	168551	6410
ZDT1	2745	190	1248	182	13973	1971	18851	2721	20099	0	142275	3716
ZDT3	2857	354	1219	228	12267	3086	15281	2401	20099	0	142201	5835
Osyczka	3361	6610	1376	134	15265	1079	17542	4631	20099	0	157885	4870
Schwefel	3081	773	1254	201	13683	4884	16318	2036	20099	0	133919	6483
